BusinessName,FHRSID,BusinessType,RatingDate,RatingValue,AddressLine1,AddressLine2,AddressLine3,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
1 Lexham Gardens Hotel,333767,Hotel/bed & breakfast/guest house,2016-08-04,5,1 Lexham Gardens,LONDON,W8 5JL,5,5,5,,
108 Golborne Garage,865458,Restaurant/Cafe/Canteen,,AwaitingInspection,108 Golborne Road,LONDON,W10 5PS,,,,-0.20889000000000,51.52184000000000
151 Club,334833,Restaurant/Cafe/Canteen,2013-05-28,4,151-153 King's Road,LONDON,SW3 5TX,5,5,10,-0.16735700000000,51.48781800000000
202 Cafe,334186,Restaurant/Cafe/Canteen,2016-02-09,3,202-204 Westbourne Grove,LONDON,W11 2RH,10,10,10,-0.20047100000000,51.51454400000000
240 Project,766573,Restaurant/Cafe/Canteen,2015-06-22,5,Latymer Christian Centre,116 Bramley Road,"LONDON, W10 6SU",0,5,0,-0.21733700000000,51.51554800000000
26 Grains,653936,Other catering premises,2014-03-19,5,,,,5,0,5,,
4  1,499780,Restaurant/Cafe/Canteen,2014-08-13,5,108 Golborne Road,LONDON,W10 5PS,5,5,5,-0.20889000000000,51.52184000000000
54 Boutique Hotel,640138,Hotel/bed & breakfast/guest house,2014-02-25,5,54 Queen's Gate,LONDON,SW7 5JW,5,5,5,-0.17975400000000,51.49625700000000
606 Club,334656,Restaurant/Cafe/Canteen,2015-06-18,4,Basement,90 Lots Road,"LONDON,",10,5,5,-0.18103200000000,51.47865200000000
A  Food and Wine,334404,Retailers - other,2015-08-18,3,6 Stratford Road,LONDON,W8 6QD,10,10,10,-0.19299600000000,51.49657900000000
A Moore & Co,334564,Retailers - other,2014-02-28,5,25E Lowndes Street,LONDON,,0,0,0,-0.15791500000000,51.49874100000000
A P Food Express,455530,Retailers - other,2016-02-18,2,48 Harrington Road,LONDON,SW7 3ND,5,15,5,-0.17786700000000,51.49409700000000
A.K.Foods,334396,Retailers - other,2015-10-14,3,373 Portobello Road,LONDON,W10 5SG,5,10,10,-0.21151700000000,51.52211400000000
A.S Food & Wine,333702,Retailers - other,2015-11-09,3,38-40 Thurloe Street,LONDON,SW7 2LT,5,10,10,-0.17371000000000,51.49430200000000
Abbey Court Hotel,334881,Hotel/bed & breakfast/guest house,2016-07-14,3,20 Pembridge Gardens,LONDON,W2 4DU,5,10,10,-0.19679400000000,51.50947900000000
ABC Drugstores,640134,Retailers - other,2014-03-03,5,196-198 Portobello Road,LONDON,W11 1LA,0,0,0,-0.20522300000000,51.51646900000000
Accent Catering Services,586635,School/college/university,2015-11-24,5,Southbank International School,36-38 Kensington Park Road,"LONDON, W11 3BU",,,,-0.19804500000000,51.51028000000000
Accent Catering Services Ltd,333586,School/college/university,2016-02-17,5,Hawkesdown House School,27 Edge Street,"LONDON, W8 7PN",0,5,0,-0.19607500000000,51.50761500000000
Acklam 242 Cafe,774024,Restaurant/Cafe/Canteen,2015-09-03,5,Westbourne Studios,242 Acklam Road,"LONDON, W10 5JJ",5,0,5,-0.20311000000000,51.52146400000000
Acorn Nursery School,335016,School/college/university,2015-06-10,5,Basement/ground Floor Flat,2 Lansdowne Crescent,"LONDON, W11 2NH",5,5,5,-0.20658800000000,51.51108600000000
