Year,Rank,Company,Revenue (in millions),Profit (in millions)
1955,1,General Motors,9823.50,806
1955,2,Exxon Mobil,5661.40,584.8
1955,3,U.S. Steel,3250.40,195.4
1955,4,General Electric,2959.10,212.6
1955,5,Esmark,2510.80,19.1
1955,6,Chrysler,2071.60,18.5
1955,7,Armour,2056.10,1.6
1955,8,Gulf Oil,1705.30,182.8
1955,9,Mobil,1703.60,183.8
1955,10,DuPont,1687.70,344.4
1955,11,Amoco,1667.40,132.8
1955,12,Bethlehem Steel,1660.30,117.2
1955,13,CBS,1631.00,84.6
1955,14,Texaco,1574.40,226.1
1955,15,AT&T Technologies,1526.20,55.8
1955,16,Shell Oil,1312.10,121.1
1955,17,Kraft,1210.30,37.4
1955,18,ChevronTexaco,1113.30,211.9
1955,19,Goodyear Tire & Rubber,1090.10,48.1
1955,20,Boeing,1033.20,37
1955,21,Sinclair Oil,1021.50,91.6
1955,22,Navistar International,994.10,36.3
1955,23,RCA,941.00,40.5
1955,24,Union Carbide,923.70,89.8
1955,25,Firestone Tire & Rubber,916.00,40.5
1955,26,Douglas Aircraft,915.20,36.2
1955,27,Procter & Gamble,911.00,52.3
1955,28,Republic Steel,846.30,52.9
1955,29,Citgo Petroleum,813.20,43.7
1955,30,ConocoPhillips,794.60,76.2
1955,31,General Foods,783.00,27.9
1955,32,Uniroyal,782.60,28
1955,33,Borden Chemical,776.80,22.7
1955,34,Lockheed Martin,732.90,22.4
1955,35,Alcoa,708.30,46.5
1955,36,International Paper,681.20,73.5
1955,37,Wilson,680.50,3.1
1955,38,Sunoco,659.50,40.3
1955,39,United Technologies,654.20,26
1955,40,American Can,652.40,30.4
1955,41,General Dynamics,648.60,20.8
1955,42,Rockwell Automation,645.80,22.2
1955,43,Eastman Kodak,633.50,69.8
1955,44,Goodrich,630.70,38.8
1955,45,Continental Group,616.20,20.7
1955,46,Bendix,607.70,25.5
1955,47,Atlantic Richfield,596.20,36.8
1955,48,Fortune Brands,533.10,41.3
1955,49,Ryerson Tull,532.00,41.1
1955,50,ARMCO,530.80,43.1
1955,51,Honeywell Intl.,519.70,10.8
1955,52,AMAX,509.50,43.1
1955,53,Conoco,500.10,41.7
1955,54,Allis-Chalmers,492.90,26.1
1955,55,Jones & Laughlin Steel,492.90,25
1955,56,General Mills,487.60,11.2
1955,57,National Intergroup,484.10,30.3
1955,58,Curtiss-Wright,475.10,19.4
1955,59,Olin,470.10,34.3
1955,60,Asarco,466.80,21.5
1955,61,Intl. Business Machines,461.40,46.5
1955,62,Anaconda,461.10,26.7
1955,63,Tidewater Oil,459.00,34.5
1955,64,Cudahy,454.80,-7.2
1955,65,Briggs Manufacturing,440.90,0.8
1955,66,Sperry,440.90,28.5
1955,67,Nabisco Group Holdings,438.30,44.8
1955,68,PPG Industries,431.00,38.6
1955,69,Dow Chemical,428.30,33.4
1955,70,Youngstown Sheet & Tube,428.20,20.2
1955,71,Kennecott,423.60,77.9
1955,72,NL Industries,419.30,36.6
1955,73,Standard Brands,415.90,10.6
1955,74,Sealed Air,413.40,14.8
1955,75,Caterpillar,401.00,25.1
1955,76,American Motors,400.30,-11.1
1955,77,Ralston Purina,399.60,15.5
1955,78,American Cyanamid,397.60,27.1
1955,79,Pullman,391.00,13.3
1955,80,Pure Oil,388.30,31.2
1955,81,BorgWarner,380.30,24.5
1955,82,Nabisco Brands,376.40,19.9
1955,83,Avco,375.40,3.6
1955,84,Unocal,349.70,35.9
1955,85,Philco,349.30,6.8
1955,86,Burlington Industries Equity,347.50,8.4
1955,87,Monsanto,341.80,23.7
1955,88,Campbell Soup,338.70,23.6
1955,89,Owens-Illinois,336.70,21.5
1955,90,Pillsbury,336.00,4.9
1955,91,Singer,333.90,11.9
1955,92,Hormel Foods,331.80,1.8
1955,93,Hygrade Food Products,324.20,1
1955,94,Republic Aviation,323.50,9
1955,95,Carnation,310.00,7.7
1955,96,Amstar,308.80,7.6
1955,97,Reynolds Metals,306.80,20.3
1955,98,Morrell (John),306.50,0.5
1955,99,BP America,304.40,18.5
1955,100,American Standard,303.40,20.4
1955,101,United Merchants & Mfrs.,300.10,9.2
1955,102,Crane,299.80,5.8
1955,103,Crown Zellerbach,298.00,26.8
1955,104,Deere,295.60,20.6
1955,105,Liggett Group,294.10,22.2
1955,106,Sylvania Electric Products,281.60,9.5
1955,107,J.P. Stevens,277.60,3.6
1955,108,Phelps Dodge,277.10,41.2
1955,109,Beatrice,275.00,4.8
1955,110,Rath Packing,273.60,1.4
1955,111,Martin Marietta,270.70,20.1
1955,112,TRW,269.00,11.7
1955,113,Quaker Oats,266.10,8.9
1955,114,Weyerhaeuser,262.50,35.5
1955,115,Colgate-Palmolive,261.80,12.5
1955,116,NCR,259.10,12.7
1955,117,Manville,253.20,16.7
1955,118,Babcock & Wilcox,250.50,15.2
1955,119,CF&I Steel,250.20,7.1
1955,120,A.O. Smith,249.60,5.4
1955,121,Marathon Oil,248.50,38.2
1955,122,Foremost Dairies,247.40,6.1
1955,123,Furniture Brands Intl.,246.80,10.2
1955,124,ACF Industries,245.10,7.8
1955,125,Otis Elevator,244.00,6.3
1955,126,Coca-Cola,243.30,25.9
1955,127,Rockwell-Standard,241.80,12.1
1955,128,J.E. Seagram,236.30,25.7
1955,129,Grumman,235.30,11.2
1955,130,National Supply,231.70,9.3
1955,131,3M,230.90,24.6
1955,132,Honeywell,229.40,15.3
1955,133,Scott Paper,228.80,18.8
1955,134,Ashland,227.90,6.6
1955,135,Del Monte Foods,226.90,6.7
1955,136,Kaisertech,226.60,14
1955,137,Remington Rand,225.50,12.2
1955,138,FMC,225.30,12.1
1955,139,Oscar Mayer,224.40,2.8
1955,140,Richfield Oil,222.80,25.6
1955,141,Studebaker,222.30,-26.2
1955,142,H.J. Heinz,220.60,5.6
1955,143,Admiral,219.60,6.5
1955,144,Armstrong Holdings,217.60,11.9
1955,145,American Viscose,217.20,10.5
1955,146,USG,217.00,32.4
1955,147,GenCorp,217.00,4.5
1955,148,Anheuser-Busch,215.90,12.8
1955,149,"Libby, McNeill & Libby",215.40,4.2
1955,150,Continental Baking,212.50,5.7
1955,151,Kaiser Industries,212.40,-35.5
1955,152,Aeroquip-Vickers,212.30,24
1955,153,Skelly Oil,211.10,29.5
1955,154,Glidden,209.10,7.1
1955,155,Archer Daniels Midland,207.70,5
1955,156,Motorola,205.20,7.6
1955,157,Wyeth,203.10,16.2
1955,158,International Packers,202.50,0.4
1955,159,Johnson & Johnson,200.90,9.5
1955,160,Quantum Chemical,200.10,13.7
1955,161,St. Regis,200.10,14.9
1955,162,Electric Autolite,198.50,0.7
1955,163,Arden Farms,195.10,1.9
1955,164,Bestfoods,194.70,15.8
1955,165,Revere Copper & Brass,193.30,10.3
1955,166,Hearst Consolidated Publications,190.90,-0.3
1955,167,Wheeling Pittsburgh,187.60,9.6
1955,168,Koppers,187.60,6.1
1955,169,Hercules,187.50,14.1
1955,170,Alco Products,187.20,4.6
1955,171,Container Corp. of America,186.60,13.6
1955,172,M. Lowenstein,186.00,6.8
1955,173,Bell Intercontinental,185.60,6.4
1955,174,Continental Motors,182.10,4.5
1955,175,Cannon Mills,180.20,9.1
1955,176,Pet,178.20,8.1
1955,177,Kimberly-Clark,177.30,11.1
1955,178,Raytheon,177.10,3.5
1955,179,Dart Industries,176.10,3.3
1955,180,Wesson Oil & Snowdrift,175.50,6.7
1955,181,Curtis Publishing,173.40,4.5
1955,182,Schenley Industries,172.00,3.8
1955,183,Northrop Grumman,171.40,3.8
1955,184,Allegheny International,169.60,4.2
1955,185,Whirlpool,169.50,9.2
1955,186,Kellogg,169.50,12.7
1955,187,Unisys,169.10,7.8
1955,188,Walter Industries,167.20,2.6
1955,189,Eaton,165.20,8.6
1955,190,Westvaco,164.80,13.1
1955,191,Sterling Drug,164.30,13.1
1955,192,Mid-Continent Petroleum,164.20,13.5
1955,193,Rheem Manufacturing,163.60,6
1955,194,Gillette,162.20,26.1
1955,195,Crucible Steel,160.60,3.7
1955,196,Brink's,159.70,2
1955,197,Hershey Foods,159.40,7.1
1955,198,General American Transportation,156.20,11.4
1955,199,Baldwin-Lima-Hamilton,155.20,4.1
1955,200,Dana,153.50,12.3
1955,201,Central Soya,153.10,3.9
1955,202,Carrier,151.40,6.9
1955,203,Grinnell,150.90,8
1955,204,Combustion Engineering,150.50,6.6
1955,205,Genesco,150.10,4.8
1955,206,Chance Vought,149.60,6.6
1955,207,Newport News Shipbuilding,149.50,7.2
1955,208,Consolidation Coal,149.20,12.1
1955,209,Corning,147.90,17.5
